county_fips_code,county_name,state,date,confirmed_cases,deaths,geo_id,total_pop,area,median_age,median_income,commute_5_9_mins,commute_10_14_mins,commute_15_19_mins,commute_20_24_mins,commute_25_29_mins,commute_30_34_mins,commute_35_39_mins,commute_40_44_mins,commute_45_59_mins,commute_60_89_mins,commute_90_more_mins,aggregate_travel_time_to_work,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,male_60_61,male_62_64,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,employed_pop,unemployed_pop,not_in_labor_force,children,graduate_professional_degree,high_school_including_ged,in_grades_1_to_4,in_grades_5_to_8,in_grades_9_to_12,in_undergrad_college,less_than_high_school_graduate,male_45_64_associates_degree,male_45_64_bachelors_degree,male_45_64_graduate_degree,male_45_64_less_than_9_grade,male_45_64_grade_9_12,male_45_64_high_school,male_45_64_some_college,male_45_to_64,poverty,worked_at_home,workers_16_and_over,do_date,commuters_by_bus,commuters_by_car_truck_van,commuters_by_carpool,commuters_by_subway_or_elevated,commuters_drove_alone
48001,Anderson County,TX,2021/1/19,5575,75,48001,57747,2774,39.1,42313,2834,3350,2622,2645,1137,1889,489,296,922,680,686,431020,945,1109,1385,1173,852,1238,1143,875,637,1459,1687,1791,978,521,477,297,803,941,571,804,1040,646,396,309,562,994,501,811,1110,803,692,451,19102,850,27770,11234,1973,14942,2861,2573,3433,2807,8290,563,516,432,710,1142,3612,2335,9310,6935,674,18851,20132017,13,17911,1875,0,16036
48003,Andrews County,TX,2021/1/19,1606,37,48003,17577,3888,31.6,70753,2318,1447,884,131,57,522,219,201,544,500,164,154525,245,216,154,248,323,363,106,177,264,296,557,763,517,403,481,300,213,209,105,166,181,116,150,78,163,212,142,161,205,181,173,130,8054,383,4295,5480,355,3872,1395,1025,1142,332,2642,99,96,146,260,291,713,355,1960,2082,204,8013,20132017,0,7744,1346,0,6398
48005,Angelina County,TX,2021/1/19,6765,193,48005,87700,2077,36.8,46472,6405,8797,7179,3806,1217,2429,221,424,1005,655,914,648375,2665,1623,2364,2098,1896,1462,1442,1382,1426,3029,3035,3821,2128,983,924,653,859,1557,743,1457,1289,1165,616,555,1149,1321,913,1494,1733,1133,961,1326,36164,2971,28317,22862,3111,17815,5346,4860,5326,3825,10744,684,950,565,1115,1221,3654,2668,10857,16222,777,35448,20132017,126,33612,4208,0,29404
48007,Aransas County,TX,2021/1/19,895,26,48007,24832,653,49.6,44601,2304,1721,896,654,187,626,406,247,845,309,202,193200,817,583,609,564,636,528,531,545,264,778,906,776,746,358,433,455,330,603,446,729,667,727,382,180,379,575,414,718,764,674,365,361,10387,750,9653,4713,1309,5205,1060,1178,1135,433,2994,355,381,129,128,379,1034,1054,3460,4344,683,9971,20132017,0,8955,839,0,8116
48009,Archer County,TX,2021/1/19,694,10,48009,8793,2357,44.8,63192,515,435,941,752,238,511,102,28,69,80,85,83375,130,222,138,141,216,218,95,116,111,196,352,563,372,192,159,130,106,168,173,115,139,147,76,111,220,209,117,147,199,112,169,142,4344,133,2643,1952,333,2059,461,518,508,253,544,97,214,42,42,72,457,355,1279,769,200,4294,20132017,0,3990,296,0,3694
48011,Armstrong County,TX,2021/1/19,128,6,48011,1929,2367,45.9,68750,104,89,20,36,67,139,78,39,125,27,18,23325,18,34,26,35,24,29,22,15,26,67,98,89,83,53,64,19,18,34,32,27,46,34,11,17,25,38,31,43,47,32,41,40,968,18,574,417,93,345,83,100,85,38,141,30,53,2,7,11,126,86,315,140,109,961,20132017,0,828,167,0,661
48013,Atascosa County,TX,2021/1/19,3781,90,48013,48139,3191,35.4,55194,1447,2229,2478,1981,772,2471,536,1077,2697,1832,517,572335,937,613,841,726,1159,585,458,793,799,1414,1615,2138,1492,736,648,555,495,814,571,616,723,615,412,167,621,932,473,896,683,482,525,533,20208,1319,14404,13417,1414,11414,3011,3158,3012,1283,7354,210,514,267,705,674,2433,947,5750,6961,1165,19739,20132017,15,18145,2962,0,15183
48015,Austin County,TX,2021/1/19,1404,18,48015,29292,1691,40.9,62614,1733,1212,1684,1329,702,1181,271,459,1036,1526,819,394255,594,477,460,911,376,661,352,348,455,798,874,1544,1462,626,626,457,406,686,301,403,780,418,275,246,275,657,431,536,754,452,317,368,13509,773,8847,7080,1368,5940,1558,1741,1625,857,3541,284,552,301,388,426,1313,849,4113,3891,610,13281,20132017,8,12237,1403,0,10834
48017,Bailey County,TX,2021/1/19,742,15,48017,7098,2142,35.2,43523,494,442,260,186,55,376,39,167,45,49,28,46000,156,94,54,285,133,151,197,84,196,246,134,237,138,38,51,36,129,165,114,33,119,69,90,55,139,73,59,112,74,173,50,65,3157,72,2020,2057,146,1196,513,293,600,78,1289,0,71,42,91,126,210,236,776,1529,263,3058,20132017,0,2380,252,0,2128
48019,Bandera County,TX,2021/1/19,820,20,48019,21316,2051,52,56413,625,718,751,683,122,906,209,342,1181,1358,491,289455,514,480,332,384,355,318,376,544,434,685,902,1067,677,458,370,382,487,453,359,574,769,396,366,258,389,757,355,504,760,637,203,252,8682,523,8793,3708,1287,5060,856,848,883,563,2126,374,439,352,55,292,1076,701,3289,3467,644,8459,20132017,10,7614,832,0,6782
